Lineage	Ceska republika	Jihocesky	Jihomoravsky	Karlovarsky	Kralovehradecky	Liberecky	Moravskoslezsky	Olomoucky	Pardubicky	Plzensky	Praha	Stredocesky	Ustecky	Vysocina	Zlinsky	_unknown_	Total
BF.7	0.155	0.168	0.12	0.125	0.274	0.35	0.25	0.0978	0.25	0.1	0.115	0.12	0.163	0.158	0	0	201
BA.5.2	0.128	0.204	0.25	0.0625	0.0769	0.05	0.0625	0.239	0.196	0.05	0.0787	0.0602	0.133	0.0526	0.5	0	165
BF.14	0.0998	0.0265	0.06	0.125	0.103	0.1	0.0625	0.0978	0.0536	0.1	0.128	0.173	0.0798	0.158	0	0	129
BA.5.2.1	0.0696	0.0708	0.03	0.125	0.0256	0	0.125	0.087	0.0536	0.15	0.0885	0.0827	0.0722	0.0263	0	0	90
BA.5.1	0.0688	0.0973	0.12	0.188	0.0427	0	0.125	0.13	0.0714	0.2	0.0525	0.0376	0.0532	0.0263	0	0	89
BQ.1.1	0.0449	0.0354	0.02	0.0625	0.111	0.1	0	0	0	0	0.0754	0.0602	0.0152	0.0263	0	0	58
BE.1.1	0.0271	0.0265	0.02	0	0.0684	0	0	0.087	0.0893	0	0.00328	0.015	0.019	0.0263	0	0	35
BA.5.2.20	0.0232	0.00885	0.03	0.0625	0.0256	0	0	0	0.0536	0.05	0.0361	0.015	0.0152	0.0263	0	0	30
BF.7.3	0.0193	0.00885	0.07	0	0.0171	0	0.0625	0.0109	0.0357	0	0.0131	0.015	0.0114	0.0263	0.25	0	25
BA.5.2.6	0.017	0.0354	0	0	0.0171	0.05	0	0.0109	0.0179	0.05	0.0131	0.015	0.019	0.0263	0	0	22
BA.5.1.10	0.0162	0.0354	0.01	0	0.0171	0	0	0.0217	0	0.1	0.00656	0.015	0.019	0.0263	0	0	21
BF.5	0.0147	0.00885	0.02	0	0	0	0	0.0109	0	0	0.00984	0.015	0.0342	0.0263	0	0	19
BA.5.9	0.0131	0	0	0.0625	0	0	0	0	0	0	0.00984	0	0.0494	0	0	0	17
BN.1.3	0.0131	0.00885	0	0	0	0.1	0	0.0109	0	0	0.0197	0.0226	0.0114	0.0263	0	0	17
BQ.1.5	0.0131	0	0	0	0	0.1	0	0	0.0357	0	0.00984	0.0226	0.0266	0	0	0	17
BA.5.1.23	0.0124	0.0177	0	0	0	0	0	0.0217	0	0.05	0.0197	0.015	0.0114	0	0	0	16
BQ.1	0.0116	0.0265	0.01	0	0	0	0	0	0	0	0.023	0.00752	0.0076	0.0263	0	0	15
BA.5.2.44	0.0108	0	0.01	0.0625	0	0	0	0	0	0	0.00984	0.0677	0	0	0	0	14
CK.1	0.00928	0	0	0	0	0	0	0	0	0	0.0164	0.00752	0.0228	0	0	0	12
BA.5.1.5	0.00851	0	0.02	0	0.00855	0	0	0.0109	0	0	0.00984	0.00752	0.0114	0	0	0	11
BA.5	0.00773	0	0.04	0.0625	0.00855	0	0	0	0	0	0	0	0.0114	0.0263	0	0	10
BA.4.6	0.00696	0.00885	0.01	0	0.00855	0	0	0	0.0179	0	0.00984	0	0.0076	0	0	0	9
BF.7.4	0.00696	0.00885	0	0	0.0171	0	0.0625	0	0	0	0.00328	0.015	0.0076	0	0	0	9
XBB.1.2	0.00696	0	0	0	0	0	0	0	0	0	0.0197	0.00752	0.0076	0	0	0	9
BA.5.2.26	0.00619	0	0.01	0	0.0256	0	0	0	0	0.05	0	0.00752	0.0076	0	0	0	8
BA.5.2.35	0.00619	0	0.01	0	0	0	0	0	0	0	0.00328	0.00752	0.019	0	0	0	8
BM.1.1.3	0.00619	0.00885	0.01	0	0	0	0	0	0	0	0.00656	0	0.0152	0	0	0	8
BN.1.1.1	0.00619	0	0	0	0.00855	0	0.0625	0	0	0	0.0164	0	0	0.0263	0	0	8
BA.5.3.1	0.00541	0	0.01	0	0.0171	0	0	0	0	0	0.00328	0.00752	0.0076	0	0	0	7
BA.5.1.26	0.00464	0	0	0	0	0	0	0.0109	0	0	0.00328	0.015	0.0038	0.0263	0	0	6
BA.5.1.30	0.00464	0.00885	0	0	0	0	0.0625	0	0.0536	0	0	0	0	0.0263	0	0	6
BA.5.2.13	0.00464	0	0	0	0	0	0	0	0	0	0	0.00752	0.019	0	0	0	6
BA.5.2.21	0.00464	0	0	0	0	0	0	0	0	0	0.00984	0	0.0114	0	0	0	6
BA.5.2.22	0.00464	0.0177	0.01	0	0.00855	0	0	0	0	0	0.00328	0	0.0038	0	0	0	6
BE.1.1.1	0.00464	0	0	0	0	0	0.0625	0.0109	0	0	0	0.0226	0.0038	0	0	0	6
BF.11	0.00464	0	0	0	0.00855	0	0	0	0	0	0.00984	0.00752	0.0038	0	0	0	6
BQ.1.1.1	0.00464	0	0	0	0.0171	0	0	0	0.0179	0	0.00984	0	0	0	0	0	6
BA.2.75.5	0.00387	0	0	0	0	0	0	0.0109	0	0	0.00984	0.00752	0	0	0	0	5
BE.1.1.2	0.00387	0	0	0	0	0	0	0	0	0	0.00984	0	0.0076	0	0	0	5
BF.7.6	0.00387	0.00885	0	0	0.00855	0.05	0	0	0	0	0.00328	0.00752	0	0	0	0	5
BA.5.1.22	0.00309	0.00885	0	0	0	0	0.0625	0	0	0	0	0	0.0076	0	0	0	4
BA.5.1.3	0.00309	0	0	0	0	0	0	0	0	0.05	0.00984	0	0	0	0	0	4
BA.5.2.34	0.00309	0	0.02	0	0.00855	0	0	0	0	0	0	0.00752	0	0	0	0	4
BA.5.5	0.00309	0	0	0	0.00855	0	0	0.0109	0	0	0.00656	0	0	0	0	0	4
BF.11.3	0.00309	0.0177	0	0	0	0	0	0.0109	0	0	0	0	0	0.0263	0	0	4
BF.2	0.00309	0	0	0	0.00855	0	0	0.0109	0	0.05	0	0	0	0.0263	0	0	4
BF.7.5	0.00309	0.00885	0	0	0	0	0	0	0	0	0.00656	0	0.0038	0	0	0	4
BQ.1.10	0.00309	0.00885	0	0	0	0	0	0	0	0	0.00656	0	0	0.0263	0	0	4
CG.1	0.00309	0.0177	0	0	0	0	0	0	0	0	0	0	0.0076	0	0	0	4
CR.1	0.00309	0	0	0.0625	0	0	0	0	0	0	0.00984	0	0	0	0	0	4
0.10 XBB	0.00309	0	0	0	0.0171	0	0	0	0	0	0	0	0.0076	0	0	0	4
BA.2	0.00232	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	3
BA.2.3.20	0.00232	0	0	0	0.00855	0	0	0	0	0	0	0	0.0038	0.0263	0	0	3
BA.2.75.2	0.00232	0	0.01	0	0	0	0	0	0	0	0.00656	0	0	0	0	0	3
BA.5.2.3	0.00232	0.00885	0	0	0	0	0	0	0	0	0.00328	0.00752	0	0	0	0	3
BF.10	0.00232	0	0	0	0	0	0	0	0	0	0.00656	0	0.0038	0	0	0	3
BF.28	0.00232	0.0265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
